crop,Soil Moisture,Temperature,Humidity,Evaporation,Rain,pump
cotton,638,16,36,5.512517219293448,0,1
cotton,522,18,37,6.0305320910880456,1,1
cotton,741,22,48,6.138875650559005,0,1
cotton,798,32,58,7.152772872074934,0,1
cotton,690,28,73,4.1860383105503125,0,1
cotton,558,23,49,6.235753923459749,1,1
cotton,578,12,79,1.6363127631120993,0,1
cotton,673,35,71,5.476668033707347,0,1
cotton,642,45,59,9.618573795146368,0,1
cotton,723,11,76,1.7343902377023257,1,1
cotton,671,23,51,6.036150753346294,0,1
cotton,758,34,39,10.793068210769205,0,1
cotton,507,45,55,10.481186426979074,0,1
cotton,586,33,62,6.648513441305814,0,1
cotton,703,45,57,10.084348806255404,1,1
cotton,716,25,39,8.037632743163817,0,1
cotton,724,11,58,2.7246407002442035,1,1
cotton,828,41,73,5.974910894027854,1,1
cotton,633,23,47,6.486192486458769,1,1
cotton,783,18,71,3.039159342044173,0,1
cotton,635,36,30,12.991722917192524,1,1
cotton,525,33,52,8.281394953329952,0,1
cotton,636,24,46,6.871987863396093,1,1
cotton,813,15,72,2.5363564789758324,1,1
cotton,736,44,66,7.897634534792278,1,1
cotton,833,13,60,3.041089334108695,1,1
cotton,808,29,54,7.105165222374352,1,1
cotton,714,14,33,5.102129225290891,1,1
cotton,806,28,38,9.11468780563997,1,1
cotton,681,31,57,7.068730527543352,1,1
cotton,661,35,59,7.5735542810586365,0,1
cotton,546,32,76,4.207378248415224,0,1
cotton,759,10,53,2.773313538833177,1,1
cotton,803,21,62,4.423970695766492,1,1
cotton,670,22,49,6.010891862868637,1,1
cotton,796,21,38,6.942292813278176,0,1
cotton,665,32,37,10.479594894529722,1,1
cotton,687,11,53,2.990270509717289,0,1
cotton,573,13,43,4.0799307798794295,0,1
cotton,812,38,47,10.506118487968775,0,1
cotton,698,45,30,16.15807871691949,0,1
cotton,675,39,41,11.907184648755212,0,1
cotton,700,38,58,8.388587226421341,1,1
cotton,749,38,66,6.880853822840348,1,1
cotton,537,44,55,10.264825995022994,1,1
cotton,748,27,62,5.550607060096858,1,1
cotton,824,37,72,5.618965864162958,1,1
cotton,839,29,44,8.562499319593298,0,1
cotton,740,31,52,7.858627721771045,1,1
cotton,533,42,58,9.183685911000778,1,1
cotton,775,40,50,10.427219628874518,0,1
cotton,663,24,48,6.63907492697762,1,1
cotton,639,14,34,5.012781629710292,0,1
cotton,612,31,52,7.825578910659692,1,1
cotton,580,14,65,2.826864137419693,0,1
cotton,632,14,49,3.9609270011981534,1,1
cotton,535,17,37,5.719256399054968,1,1
cotton,818,15,38,5.087544492279646,0,1
cotton,503,44,43,12.895018599484684,0,1
cotton,788,12,35,4.330367223245282,0,1
cotton,513,27,30,9.807931023997918,0,1
cotton,729,41,38,13.125890750412976,0,1
cotton,659,29,45,8.373032954110762,0,1
cotton,629,41,45,11.665129461432665,0,1
cotton,641,35,41,10.718309917278855,0,1
cotton,676,30,34,10.302442707587508,1,1
cotton,739,14,69,2.588379646062285,1,1
cotton,773,20,58,4.6267333229355945,0,1
cotton,792,15,75,2.3063310928137537,1,1
cotton,509,19,56,4.536768907216066,1,1
cotton,682,40,40,12.403987598901804,1,1
cotton,637,29,76,3.8722526306423535,1,1
cotton,769,13,79,1.790759044671515,0,1
cotton,611,12,57,2.9653095575631387,1,1
cotton,574,32,65,5.975207583741334,0,1
cotton,623,32,71,5.028529470570331,1,1
cotton,539,26,48,7.125394703076748,1,1
cotton,595,30,64,5.780974009629645,1,1
cotton,683,39,60,8.204244506780809,0,1
cotton,760,18,73,2.853558724801511,1,1
cotton,697,25,48,6.907824224398999,0,1
cotton,766,39,75,5.300026870364171,1,1
cotton,768,17,53,4.420515126550852,0,1
cotton,734,16,31,5.93713705452661,1,1
cotton,579,45,36,14.776588551176316,0,1
cotton,737,34,72,5.177883052835571,0,1
cotton,699,22,78,2.828333050828207,1,1
cotton,757,43,60,9.02282274036225,0,1
cotton,624,15,46,4.438796592960477,1,1
cotton,545,29,56,6.747095540987116,1,1
cotton,850,16,65,3.245072691811885,1,1
cotton,722,26,79,3.144139623686235,1,1
cotton,795,15,72,2.532052583855191,1,1
cotton,817,18,39,5.927307147812884,1,1
cotton,830,44,74,6.1603826484733615,1,1
cotton,843,41,43,12.128436819202674,1,1
cotton,553,35,36,11.56935114157226,1,1
cotton,837,30,68,5.242029824161791,1,1
cotton,588,18,69,3.16906161457103,1,1
cotton,733,26,38,8.476888091774187,0,1
cotton,89,42,43,12.170186789850291,0,0
cotton,76,35,37,11.218327223334926,1,0
cotton,434,19,46,5.464231900714385,1,0
cotton,487,16,52,4.190308359654539,1,0
cotton,493,18,45,5.302082084207552,1,0
cotton,421,39,55,9.105169089872108,1,0
